Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-22T09:41:12.478Z","Included","auto","No","23398","2011","280758","1723","307890","0.11"
"2025-10-22T08:53:53.057Z","Included","auto","No","10768","1734","580560","5350","598412","0.19"
"2025-10-22T08:42:37.178Z","Included","auto","No","41450","1966","478256","6276","527948","0.21"
"2025-10-22T08:34:32.247Z","Included","auto","No","11725","2314","382774","3817","400630","0.14"
"2025-10-22T08:30:33.087Z","Included","auto","No","2434","1154","43027","539","47154","0.02"
"2025-10-22T08:22:31.538Z","Included","auto","No","8437","1668","597528","3106","610739","0.18"
"2025-10-22T08:20:26.572Z","Included","auto","No","8058","1964","252067","1911","264000","0.09"
"2025-10-22T08:12:37.781Z","Included","auto","No","14802","1702","183658","2504","202666","0.08"
"2025-10-22T07:10:44.339Z","Included","auto","No","813","1216","71029","660","73718","0.02"
"2025-10-22T07:07:13.711Z","Included","auto","No","27281","1327","42793","806","72207","0.05"
"2025-10-22T07:00:06.776Z","Included","auto","No","254","27641","67096","554","95545","0.05"
"2025-10-22T06:51:13.879Z","Included","auto","No","14981","31532","275260","1070","322843","0.13"
"2025-10-22T06:44:37.914Z","Included","auto","No","4016","13163","249355","1308","267842","0.09"
"2025-10-22T06:39:23.846Z","Included","auto","No","11509","824","157451","914","170698","0.06"
"2025-10-22T06:06:33.658Z","Included","auto","No","1673","11717","83424","763","97577","0.04"
"2025-10-22T06:05:12.729Z","Included","auto","No","996","10638","46836","452","58922","0.03"
"2025-10-22T06:01:18.514Z","Included","auto","No","7885","837","102391","1181","112294","0.04"
"2025-10-22T05:20:51.974Z","Included","auto","No","0","34435","456677","1133","492245","0.16"
"2025-10-22T05:12:14.184Z","Included","auto","No","0","21323","698579","1901","721803","0.21"
"2025-10-22T05:05:33.521Z","Included","auto","No","0","32168","807404","2421","841993","0.26"
"2025-10-22T04:55:36.087Z","Included","auto","No","0","32547","301731","1667","335945","0.13"
"2025-10-22T04:51:26.056Z","Included","auto","No","0","22957","310698","1591","335246","0.12"
"2025-10-22T04:45:41.219Z","Included","auto","No","0","11499","7985","152","19636","0.02"
"2025-10-22T04:25:17.641Z","Included","auto","No","0","16438","21093","158","37689","0.03"
"2025-10-22T04:22:13.234Z","Included","auto","No","0","111038","8018","150","119206","0.14"
"2025-10-22T03:45:50.405Z","Included","auto","No","0","39437","311195","413","351045","0.13"
"2025-10-22T03:35:01.748Z","Included","auto","No","0","122925","1751752","2659","1877336","0.61"
"2025-10-22T03:31:39.952Z","Included","auto","No","8345","6958","260947","3235","279485","0.10"
"2025-10-22T03:26:32.017Z","Included","auto","No","117931","8191","11207","1354","138683","0.17"
"2025-10-22T03:16:59.237Z","Included","auto","No","126260","2153","1341","2198","131952","0.17"
"2025-10-21T14:53:06.884Z","Included","auto","No","13668","2071","1142611","5594","1163944","0.34"
"2025-10-21T14:46:30.026Z","Included","auto","No","78469","1599","506008","1182","587258","0.23"
"2025-10-21T14:12:02.432Z","Included","auto","No","43828","864","1155844","2783","1203319","0.36"
